Naslov;;;;
Analiza fotografij z umetno inteligenco;;;;
Uporaba tehnik globokega učenja za prepoznavanje objektov v slikah;;;;
Razumevanje fotografij z globokimi nevronskimi mrežami ;;;;
Globoke nevronske mreže in prepoznavanje objektov v digitalnih slikah;;;;
Globoke nevronske mreže za prepoznavanje objektov v slikah v industrijskem okolju;;;;
Črpanje podatkov iz fotografij;;;;
Prilagajanje in optimizacija parametrov globokih nevronskih mrež;;;;
Računalniška obdelava slik na vgrajenih sistemih;;;;
Osnove funkcijskega programiranja;;;;
Domensko-specifični jeziki: končni uporabniki kot razvijalci programske opreme;;;;
Razvoj spletnih aplikacij s skladom MERN: zaledni del;;;;
Razvoj spletnih aplikacij s skladom MERN: čelni del;;;;
Programski jezik Kotlin;;;;
Aplikacija Jetpack Compose;;;;
Razvoj računalniških iger v programskem jeziku Java ali Kotlin ;;;;
Vizualno programiranje za končne uporabnike;;;;
Osnove statistične analize podatkov;;;;
Osnove kvalitete programske opreme;;;;
Zbiranje in priprava podatkov za strojno učenje;;;;
Vitko upravljanje v inženirstvu;;;;
Osnove strojnega učenja;;;;
Osnove strojnega učenja v programskem jeziku R;;;;
Osnove strojnega učenja v programskem jeziku Python ;;;;
Orodja za razvoj programske opreme;;;;
Uvod v strojno učenje;;;;
Umetne nevronske mreže in globoko učenje;;;;
Analiza grafov z umetno inteligenco;;;;
Globoko okrepitveno učenje z nevronskimi mrežami;;;;
Generativna umetna inteligenca;;;;
Metode za napovedovanje časovnih vrst;;;;
Podatkovne strukture v praksi;;;;
Računalniški algoritmi za reševanje problemov na grafih;;;;
Programiranje za superračunalnik – C++ niti;;;;
Programiranje za superračunalnik – Python niti;;;;
Programiranje za superračunalnik – OpenMP;;;;
Programiranje za superračunalnik – MPI;;;;
Programiranje za superračunalnik – Singularity;;;;
Uvod v Python za programerje;;;;
Uvod v Python za neprogramerje;;;;
Programerski uvod v digitalno obdelavo signalov (Python);;;;
Napredna frekvenčna analiza za programerje;;;;
Diskretna valčna transformacija;;;;
Python in umetna inteligenca z aplikacijami v razpoznavanju vzorcev;;;;
Matlab in prototipiranje digitalne obdelave signalov;;;;
Napredno programiranje v Matlabu;;;;
Uvod v kvantno programiranje;;;;
Razpoznavanje vzorcev in redukcija dimenzij: primerjava klasičnih algoritmov in globokega učenja;;;;
Klasifikacija vzorcev: klasični pristopi in globoke nevronske mreže;;;;
Ločevanje izvorov v večkanalnih mešanicah signalov;;;;
Delovanje računalniških sistemov;;;;
Uporabniška programska oprema in urejanje besedil;;;;
Uvod v svetovni splet in uporaba spletnih virov;;;;
Uvod v operacijski sistem Linux;;;;
Napredna komunikacija človek-stroj: vmesniki možgani-stroj in vmesniki mišice-stroj;;;;
